question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Name-calling or personal attacks,Work role: Other/Non-working,22,18.2,54.5
46,Name-calling or personal attacks,Work role: Employee+Owner,20,15.0,55.0
46,Name-calling or personal attacks,Pay status: Unpaid,248,13.3,45.2
46,Name-calling or personal attacks,Pay status: Paid directly,116,15.5,60.3
46,Name-calling or personal attacks,Pay status: Paid indirectly,67,10.4,53.7
46,Name-calling or personal attacks,Tenure (combined): 15+ years,135,12.6,57.0
46,Name-calling or personal attacks,Tenure (combined): 10-15 years,122,22.1,57.4
46,Name-calling or personal attacks,Tenure (combined): 6-10 years,56,12.5,48.2
46,Name-calling or personal attacks,Tenure (combined): 3-6 years,29,10.3,31.0
46,Name-calling or personal attacks,Tenure (combined): 1-2 years,15,13.3,40.0
46,Name-calling or personal attacks,Participation level: Occasional participation,144,7.6,47.9
46,Name-calling or personal attacks,Participation level: Observational only,97,11.3,38.1
46,Name-calling or personal attacks,Participation level: Moderately active participation,76,21.1,60.5
46,Name-calling or personal attacks,Participation level: Very active participation,44,22.7,72.7
46,Name-calling or personal attacks,Participation level: Inactive,35,17.1,48.6
46,Name-calling or personal attacks,Participation level: Do not participate / Not applicable,35,11.4,48.6
46,Name-calling or personal attacks,Participation change: No change / About the same,199,6.0,34.2
46,Name-calling or personal attacks,Participation change: Decreased,94,17.0,67.0
46,Name-calling or personal attacks,Participation change: Significantly decreased,73,24.7,74.0
46,Name-calling or personal attacks,Participation change: Increased,48,18.8,52.1
46,Name-calling or personal attacks,Participation change: Significantly increased,17,17.6,47.1
46,Name-calling or personal attacks,"Event relationship: Never attended, not interested",120,9.2,40.8
46,Name-calling or personal attacks,Event relationship: Stopped attending,94,17.0,59.6
46,Name-calling or personal attacks,"Event relationship: Attend, multiple times a year",91,18.7,58.2
46,Name-calling or personal attacks,"Event relationship: Attend, annually or occasionally",90,13.3,46.7
46,Name-calling or personal attacks,"Event relationship: Never attended, would like to",28,7.1,50.0
46,Name-calling or personal attacks,Contribution type: No contribution work,197,8.1,41.1
46,Name-calling or personal attacks,Contribution type: Community and code work,112,22.3,62.5
46,Name-calling or personal attacks,Contribution type: Community work only,87,17.2,56.3
46,Name-calling or personal attacks,Contribution type: Code / project work only,35,5.7,51.4
46,Name-calling or personal attacks,Contributor identity: Agree,105,15.2,57.1
46,Name-calling or personal attacks,Contributor identity: Neutral,90,13.3,53.3
46,Name-calling or personal attacks,Contributor identity: Disagree,81,13.6,39.5
46,Name-calling or personal attacks,Contributor identity: Strongly disagree,79,5.1,40.5
46,Name-calling or personal attacks,Contributor identity: Strongly agree,76,19.7,60.5
46,Name-calling or personal attacks,Community membership: Agree,166,13.9,47.6
46,Name-calling or personal attacks,Community membership: Strongly agree,142,17.6,58.5
